trim,tilt_power,ml_blend_weight,base_unit_fraction,max_gross_leverage,search_ann_ret,search_sharpe,holdout_ann_ret,holdout_sharpe,final_nav,n_positions
0.1,1.0,0.25,0.004,3.0,0.06417263222160652,0.8656467864979793,0.021568889415282566,0.30379654643636284,26589196.67853923,114780
0.1,1.0,0.5,0.002,1.5,0.036458749319732586,0.7669405324989247,0.013808886795432462,0.2916305554509527,17704670.238230146,109829
0.1,1.0,0.5,0.002,2.0,0.03611486564645272,0.741806307498986,0.0196630407405749,0.42394788711450665,18217324.265699744,109829
0.1,1.0,0.5,0.002,2.5,0.03611486564645272,0.741806307498986,0.0196630407405749,0.42394788711450665,18217324.265699744,109829
0.1,1.0,0.5,0.002,3.0,0.03611486564645272,0.741806307498986,0.0196630407405749,0.42394788711450665,18217324.265699744,109829
0.1,1.0,0.5,0.0025,1.5,0.0397856560017531,0.7594008488993872,0.00886401111192514,0.186896647655257,17989337.675195545,109829
0.1,1.0,0.5,0.0025,2.0,0.042045788537918405,0.7177540008861982,0.020785698464942826,0.3779764442147535,19829755.255896956,109829
0.1,1.0,0.5,0.0025,2.5,0.042577281228500796,0.7246085657723069,0.021391710675268794,0.39839068899258584,20037541.046098404,109829
0.1,1.0,0.5,0.0025,3.0,0.042577281228500796,0.7246085657723069,0.021391710675268794,0.39839068899258584,20037541.046098404,109829
0.1,1.0,0.5,0.003,1.5,0.03942986797306425,0.7028426789438177,0.005423782467335769,0.12076313224244173,17556644.94188329,109829
0.1,1.0,0.5,0.003,2.0,0.047286794761870254,0.7141494544119967,0.008252172754727782,0.15305624648170263,19789056.41510366,109829
0.1,1.0,0.5,0.003,2.5,0.04860355666486238,0.7109746365023802,0.021463623013395994,0.35461631607114363,21698886.16306826,109829
