kind,horizon,decile,mean,se,t_stat,n_events,n_quarters
rr_ret_mktadj_fwd,20,3,0.00015629169468797354,0.002688642278690858,0.0581303418185012,10878,67
rr_ret_mktadj_fwd,20,4,-0.0022768001687473657,0.002385290649925138,-0.9545168714843295,15064,67
rr_ret_mktadj_fwd,20,5,0.0012601215958071578,0.0025316720217941845,0.4977428296237659,10407,67
rr_ret_mktadj_fwd,20,6,0.002379554938699387,0.0027490331807764356,0.8655970234696501,13009,67
rr_ret_mktadj_fwd,20,7,0.0021691759657848225,0.0023155924070284136,0.9367693378164569,12523,67
rr_ret_mktadj_fwd,20,8,0.003982765006875137,0.0024368692615685597,1.6343777935429813,11923,67
rr_ret_mktadj_fwd,20,9,0.006778674595484533,0.002352452827065651,2.881534761289969,12818,67
rr_ret_mktadj_fwd,20,10,0.010944131353074673,0.002717500981663753,4.0272777919565925,11753,67
rr_ret_mktadj_fwd,40,1,0.0015230000005865033,0.004799714680369337,0.31731052823108824,10086,67
rr_ret_mktadj_fwd,40,2,0.0009139563009921066,0.0048079416405154935,0.1900930521473873,10848,67
